Time,Duration,Delta
09:09:14,52,52
09:11:16,52,0
09:21:55,53,1
09:23:59,53,0
09:26:01,53,0
09:28:04,53,0
09:30:06,53,0
09:32:08,52,-1
09:34:11,53,1
09:36:14,53,0
09:38:17,52,-1
09:40:20,52,0
09:42:56,52,0
09:45:00,52,0
09:47:04,52,0
09:50:19,51,-1
09:54:11,52,1
09:56:14,52,0
09:58:16,51,-1
10:00:19,51,0
10:02:21,52,1
10:04:24,52,0
10:06:26,52,0
10:08:29,52,0
10:10:31,52,0
10:12:34,0,-52
10:14:37,52,52
10:16:39,52,0
10:18:43,52,0
10:20:46,53,1
10:22:49,54,1
10:24:52,56,2
10:26:54,57,1
10:28:57,56,-1
10:31:00,55,-1
10:33:02,54,-1
10:35:04,54,0
10:37:07,53,-1
10:39:09,54,1
10:41:12,53,-1
10:43:14,55,2
10:45:17,53,-2
10:47:19,53,0
10:49:21,53,0
10:51:23,53,0
10:53:25,53,0
10:55:27,53,0
10:57:29,54,1
10:59:31,54,0
11:01:33,55,1
11:03:34,55,0
11:05:36,54,-1
11:07:38,54,0
11:09:40,55,1
11:11:42,55,0
11:13:44,56,1
11:15:46,57,1
11:17:48,57,0
11:19:50,57,0
11:21:52,57,0
11:23:55,58,1
11:25:57,57,-1
11:27:59,58,1
11:30:01,57,-1
11:32:03,57,0
11:34:05,58,1
11:36:08,58,0
11:38:10,58,0
11:40:12,58,0
11:42:15,58,0
11:44:17,59,1
11:46:20,59,0
11:48:23,0,-59
11:50:26,61,61
11:52:33,61,0
11:54:35,61,0
11:56:38,60,-1
11:58:41,59,-1
12:00:43,60,1
12:02:46,60,0
12:04:49,61,1
12:06:52,63,2
12:08:55,61,-2
12:10:57,62,1
12:13:00,63,1
12:15:03,62,-1
12:17:06,63,1
12:19:09,64,1
12:21:11,66,2
12:23:13,64,-2
12:25:16,64,0
12:27:22,66,2
12:29:24,68,2
12:31:27,69,1
12:33:30,69,0
12:35:32,69,0
12:37:35,70,1
12:39:38,68,-2
12:41:40,69,1
12:43:43,72,3
12:45:45,70,-2
12:47:48,71,1
12:49:50,71,0
12:51:52,70,-1
12:53:55,75,5
12:55:58,71,-4
12:58:00,71,0
13:00:03,71,0
13:02:05,73,2
13:04:08,74,1
13:06:11,75,1
13:08:13,78,3
13:10:16,75,-3
13:12:18,75,0
13:14:20,77,2
13:16:23,76,-1
13:18:25,77,1
13:20:27,79,2
13:22:29,79,0
13:24:32,79,0
13:26:35,82,3
13:28:37,84,2
13:30:39,84,0
13:32:41,86,2
13:34:42,90,4
13:36:43,85,-5
13:38:45,86,1
13:40:47,86,0
13:42:50,87,1
13:44:52,90,3
13:46:54,89,-1
13:48:56,92,3
13:50:58,94,2
13:53:00,92,-2
13:55:02,96,4
13:57:05,93,-3
13:59:07,98,5
14:01:09,99,1
14:03:10,99,0
14:05:13,99,0
14:07:15,105,6
14:09:17,105,0
14:11:20,101,-4
14:13:25,100,-1
14:15:27,0,-100
14:17:29,95,95
14:19:31,101,6
14:21:33,102,1
14:23:35,101,-1
14:25:37,108,7
14:27:38,113,5
14:29:40,109,-4
