Time,Duration,Delta
09:09:14,57,57
09:11:16,57,0
09:21:55,58,1
09:23:59,57,-1
09:26:01,56,-1
09:28:04,57,1
09:30:06,57,0
09:32:08,57,0
09:34:11,57,0
09:36:14,57,0
09:38:17,59,2
09:40:20,58,-1
09:42:56,58,0
09:45:00,58,0
09:47:04,57,-1
09:50:19,56,-1
09:54:11,56,0
09:56:14,54,-2
09:58:16,56,2
10:00:19,56,0
10:02:21,56,0
10:04:24,57,1
10:06:26,56,-1
10:08:29,55,-1
10:10:31,56,1
10:12:34,55,-1
10:14:37,55,0
10:16:39,55,0
10:18:43,55,0
10:20:46,55,0
10:22:49,53,-2
10:24:52,54,1
10:26:54,54,0
10:28:57,54,0
10:31:00,55,1
10:33:02,53,-2
10:35:04,52,-1
10:37:07,52,0
10:39:09,52,0
10:41:12,52,0
10:43:14,52,0
10:45:17,52,0
10:47:19,52,0
10:49:21,52,0
10:51:23,52,0
10:53:25,51,-1
10:55:27,51,0
10:57:29,52,1
10:59:31,51,-1
11:01:33,51,0
11:03:34,51,0
11:05:36,51,0
11:07:38,51,0
11:09:40,52,1
11:11:42,51,-1
11:13:44,51,0
11:15:46,51,0
11:17:48,52,1
11:19:50,51,-1
11:21:52,51,0
11:23:55,51,0
11:25:57,52,1
11:27:59,52,0
11:30:01,51,-1
11:32:03,51,0
11:34:05,51,0
11:36:08,50,-1
11:38:10,51,1
11:40:12,51,0
11:42:15,51,0
11:44:17,52,1
11:46:20,52,0
11:48:23,53,1
11:50:26,51,-2
11:52:33,52,1
11:54:35,51,-1
11:56:38,52,1
11:58:41,51,-1
12:00:43,51,0
12:02:46,51,0
12:04:49,52,1
12:06:52,51,-1
12:08:55,51,0
12:10:57,51,0
12:13:00,51,0
12:15:03,51,0
12:17:06,51,0
12:19:09,52,1
12:21:11,52,0
12:23:13,52,0
12:25:16,52,0
12:27:22,51,-1
12:29:24,51,0
12:31:27,51,0
12:33:30,52,1
12:35:32,52,0
12:37:35,51,-1
12:39:38,51,0
12:41:40,52,1
12:43:43,51,-1
12:45:45,52,1
12:47:48,53,1
12:49:50,54,1
12:51:52,52,-2
12:53:55,52,0
12:55:58,53,1
12:58:00,52,-1
13:00:03,52,0
13:02:05,52,0
13:04:08,51,-1
13:06:11,51,0
13:08:13,52,1
13:10:16,52,0
13:12:18,53,1
13:14:20,51,-2
13:16:23,52,1
13:18:25,51,-1
13:20:27,51,0
13:22:29,51,0
13:24:32,0,-51
13:26:35,52,52
13:28:37,52,0
13:30:39,51,-1
13:32:41,53,2
13:34:42,52,-1
13:36:43,51,-1
13:38:45,0,-51
13:40:47,52,52
13:42:50,52,0
13:44:52,52,0
13:46:54,52,0
13:48:56,52,0
13:50:58,52,0
13:53:00,52,0
13:55:02,52,0
13:57:05,51,-1
13:59:07,52,1
14:01:09,52,0
14:03:10,52,0
14:05:13,52,0
14:07:15,52,0
14:09:17,52,0
14:11:20,52,0
14:13:25,52,0
14:15:27,52,0
14:17:29,51,-1
14:19:31,50,-1
14:21:33,51,1
14:23:35,51,0
14:25:37,51,0
14:27:38,50,-1
14:29:40,50,0
